##, Gene,  % In, % In, % Ratio, Up, Down, Up
1, Luc, 6.350699E-5, 1.8962799E-5, 0.2985939, , Luc, , Luc, 
34, A4GALT, 3.919125E-5, 4.9899252E-5, 1.2732242, , , , , 
35, A4GALT, 1.0870565E-5, 5.417943E-7, 0.049840488, , , , , 
36, A4GALT, 1.0956386E-4, 5.2716583E-5, 0.48114938, , , , , 
37, A4GALT, 3.525782E-5, 1.71207E-5, 0.48558587, , , , , 
38, A4GNT, 2.5173942E-5, 3.2074222E-5, 1.2741041, , , , , 
39, A4GNT, 4.9203612E-5, 2.0208927E-5, 0.41072038, , , , , 
40, A4GNT, 1.1135178E-4, 1.12259775E-4, 1.0081543, , , , , 
41, A4GNT, 2.0096242E-5, 7.991466E-5, 3.976597, , , , , 
42, A4GNT, 1.9738658E-5, 1.2082012E-5, 0.612099, , , , , 
43, A4GNT, 4.0264003E-5, 1.9596699E-4, 4.8670516, , , , , 
44, AACS, 1.4160342E-5, 2.6060305E-5, 1.8403726, , , , , 
45, AACS, 1.2944555E-5, 9.860656E-6, 0.7617609, , , , , 
46, AACS, 1.8594388E-5, 2.4055666E-5, 1.2937057, , , , , 
47, AACS, 7.788188E-5, 4.350608E-5, 0.5586162, , , , , 
48, AACS, 1.8594388E-6, 1.701234E-5, 9.149179, , , , , 
49, AADAC, 6.093238E-5, 6.8753696E-5, 1.1283606, , , , , 
50, AADAC, 2.1240514E-5, 1.0348271E-5, 0.48719493, , , , , 
51, AADAC, 6.0646315E-5, 3.229094E-5, 0.53244686, , , , , 
52, AADAC, 9.940846E-6, 8.289452E-6, 0.8338779, , , , , 
53, AADAC, 3.7045742E-5, 4.8057154E-5, 1.2972382, , , , , 
54, AADAT, 2.4387256E-5, 1.8421006E-5, 0.75535375, , , , , 
55, AADAT, 5.6927434E-5, 2.8823455E-5, 0.5063192, , , , , 
56, AADAT, 4.7129623E-5, 9.107562E-5, 1.9324496, , , , , 
57, AADAT, 3.5686924E-5, 1.0781706E-5, 0.30211923, , , , , 
58, AADAT, 1.0369948E-5, 2.0154746E-5, 1.9435726, , , , , 
59, AANAT, 1.215787E-5, 2.178013E-5, 1.791443, , , , , 
60, AANAT, 1.0727532E-6, 1.4736805E-5, 13.737367, , , , , 
61, AANAT, 1.08348075E-4, 6.994564E-5, 0.64556426, , , , , 
62, AANAT, 4.119372E-5, 3.9984418E-5, 0.97064346, , , , , 
63, AANAT, 6.508036E-6, 1.7825032E-5, 2.7389264, , , , , 
64, AANAT, 9.847874E-5, 5.7213478E-5, 0.5809729, , , , , 
65, AARS, 3.296928E-5, 2.7523149E-5, 0.8348119, , , , , 
66, AARS, 4.3410746E-5, 4.9790895E-5, 1.1469717, , , , , 
67, AARS, 1.2157869E-6, 2.7143893E-5, 22.326193, , , , , 
68, AARS, 1.6663433E-5, 6.068096E-6, 0.36415642, , , , , 
